season,week,team,player_name,position,report_primary_injury,report_secondary_injury,report_status,practice_status,date_modified
2026,2,ARI,Budda Baker,S,,,,Did Not Participate In Practice,
2026,2,ARI,Cody Simon,LB,,,,Limited Participation in Practice,
2026,2,ARI,Dadrion Taylor-Demerson,S,,,,Limited Participation in Practice,
2026,2,ARI,Garrett Williams,CB,,,,Limited Participation in Practice,
2026,2,ARI,Isaac Seumalo,G,,,,Did Not Participate In Practice,
2026,2,ARI,Isaiah Adams,G,,,,Limited Participation in Practice,
2026,2,ARI,Jack Gibbens,LB,,,,Limited Participation in Practice,
2026,2,ARI,Josh Sweat,LB,,,,Did Not Participate In Practice,
2026,2,ARI,Max Melton,CB,,,,Limited Participation in Practice,
2026,2,ARI,Roy Lopez,DT,,,,Limited Participation in Practice,
2026,2,ARI,Trey McBride,TE,,,,Did Not Participate In Practice,
2026,2,ATL,A.J. Terrell,CB,,,,Did Not Participate In Practice,
2026,2,ATL,Billy Bowman Jr.,CB,,,,Full Participation in Practice,
2026,2,ATL,Chris Lindstrom,G,,,,Did Not Participate In Practice,
2026,2,ATL,Cooper Rush,QB,,,,Full Participation in Practice,
2026,2,ATL,Michael Penix Jr.,QB,,,,Full Participation in Practice,
2026,2,ATL,Tua Tagovailoa,QB,,,,Did Not Participate In Practice,
2026,2,BAL,Calais Campbell,DT,,,,Did Not Participate In Practice,
2026,2,BAL,Devontez Walker,WR,,,,Full Participation in Practice,
2026,2,BAL,Jaylinn Hawkins,S,,,,Full Participation in Practice,
2026,2,BAL,John Simpson,G,,,,Did Not Participate In Practice,
2026,2,BAL,Keondre Jackson,S,,,,Limited Participation in Practice,
2026,2,BAL,Nnamdi Madubuike,DT,,,,Limited Participation in Practice,
2026,2,BAL,Ronnie Stanley,T,,,,Did Not Participate In Practice,
2026,2,BAL,T.J. Tampa,CB,,,,Did Not Participate In Practice,
2026,2,BAL,Teddye Buchanan,LB,,,,Limited Participation in Practice,
2026,2,BAL,Trey Hendrickson,LB,,,,Did Not Participate In Practice,
2026,2,BAL,Zay Flowers,WR,,,,Did Not Participate In Practice,
2026,2,BUF,Bradley Chubb,LB,,,,Full Participation in Practice,
2026,2,BUF,Cole Bishop,S,Knee,Groin,Questionable,Limited Participation in Practice,
2026,2,BUF,Jordan Hancock,CB,,,,Full Participation in Practice,
2026,2,BUF,T.J. Sanders,DE,Knee,Illness,Questionable,Limited Participation in Practice,
2026,2,BUF,Terrel Bernard,LB,,,,Limited Participation in Practice,
2026,2,BUF,Ty Johnson,RB,Hamstring,,Questionable,Limited Participation in Practice,
2026,2,CAR,Bobby Brown III,DT,,,,Did Not Participate In Practice,
2026,2,CAR,Darren Waller,TE,,,,Did Not Participate In Practice,
2026,2,CAR,Jalen Coker,WR,,,,Limited Participation in Practice,
2026,2,CAR,Patrick Jones II,LB,,,,Did Not Participate In Practice,
2026,2,CHI,D'Andre Swift,RB,,,,Limited Participation in Practice,
2026,2,CHI,Darnell Wright,T,,,,Did Not Participate In Practice,
2026,2,CHI,Dayo Odeyingbo,DE,,,,Limited Participation in Practice,
2026,2,CHI,Grady Jarrett,DT,,,,Did Not Participate In Practice,
2026,2,CHI,Kyle Monangai,RB,,,,Limited Participation in Practice,
2026,2,CHI,Malik Muhammad,CB,,,,Limited Participation in Practice,
2026,2,CHI,Neville Gallimore,DT,,,,Did Not Participate In Practice,
2026,2,CHI,Ozzy Trapilo,T,,,,Limited Participation in Practice,
2026,2,CHI,Xavier Woods,S,,,,Limited Participation in Practice,
2026,2,CIN,B.J. Hill,DT,,,,Did Not Participate In Practice,
2026,2,CIN,Joe Burrow,QB,,,,Limited Participation in Practice,
2026,2,CIN,Shemar Stewart,DE,,,,Full Participation in Practice,
2026,2,CLE,Dawand Jones,T,,,,Limited Participation in Practice,
2026,2,CLE,Elgton Jenkins,C,,,,Limited Participation in Practice,
2026,2,CLE,Jerry Jeudy,WR,,,,Full Participation in Practice,
2026,2,CLE,Maliek Collins,DT,,,,Limited Participation in Practice,
2026,2,CLE,Parker Brailsford,C,,,,Limited Participation in Practice,
2026,2,CLE,Teven Jenkins,G,,,,Did Not Participate In Practice,
2026,2,CLE,Zion Johnson,G,,,,Full Participation in Practice,
2026,2,DAL,Ajani Cornelius,T,,,,Full Participation in Practice,
2026,2,DAL,DeMarvion Overshown,LB,,,,Did Not Participate In Practice,
2026,2,DAL,James Houston,LB,,,,Limited Participation in Practice,
2026,2,DAL,Malik Hooker,S,,,,Did Not Participate In Practice,
2026,2,DEN,Jonah Elliss,LB,,,,Full Participation in Practice,
2026,2,DEN,Marvin Mims Jr.,WR,,,,Did Not Participate In Practice,
2026,2,DEN,RJ Harvey,RB,,,,Did Not Participate In Practice,
2026,2,DEN,Troy Franklin,WR,,,,Full Participation in Practice,
2026,2,DET,Blake Miller,T,Knee,,Out,Did Not Participate In Practice,
2026,2,DET,Christian Izien,S,,,,Full Participation in Practice,
2026,2,DET,Christian Mahogany,G,Hip,,Out,Did Not Participate In Practice,
2026,2,DET,D.J. Reed,CB,Foot,,Questionable,Limited Participation in Practice,
2026,2,DET,Juice Scruggs,G,,,,Full Participation in Practice,
2026,2,GB,Aaron Banks,G,,,,Limited Participation in Practice,
2026,2,GB,Barryn Sorrell,LB,,,,Limited Participation in Practice,
2026,2,GB,Brandon Cisse,CB,,,,Full Participation in Practice,
2026,2,GB,Devonte Wyatt,DT,,,,Limited Participation in Practice,
2026,2,GB,Javon Hargrave,DT,,,,Limited Participation in Practice,
2026,2,GB,Lukas Van Ness,LB,,,,Limited Participation in Practice,
2026,2,GB,Ty'Ron Hopper,LB,,,,Limited Participation in Practice,
2026,2,GB,Warren Brinson,DT,,,,Did Not Participate In Practice,
2026,2,GB,Zach Bako-Bewele,T,,,,Limited Participation in Practice,
2026,2,HOU,Dalton Schultz,TE,,,,Did Not Participate In Practice,
2026,2,HOU,Jacob Hummel,LB,,,,Did Not Participate In Practice,
2026,2,HOU,Jadeveon Clowney,DE,,,,Did Not Participate In Practice,
2026,2,HOU,Nico Collins,WR,,,,Limited Participation in Practice,
2026,2,HOU,Trent Brown,T,,,,Full Participation in Practice,
2026,2,HOU,Wade Woodaz,LB,,,,Full Participation in Practice,
2026,2,HOU,Will Anderson Jr.,DE,,,,Limited Participation in Practice,
2026,2,IND,Akeem Davis-Gaither,LB,,,,Full Participation in Practice,
2026,2,IND,Alec Pierce,WR,,,,Full Participation in Practice,
2026,2,IND,Anthony Richardson,QB,,,,Did Not Participate In Practice,
2026,2,IND,Ashton Dulin,WR,,,,Did Not Participate In Practice,
2026,2,IND,Austin Ajiake,LB,,,,Limited Participation in Practice,
2026,2,IND,DeForest Buckner,DT,,,,Full Participation in Practice,
2026,2,IND,Keenan Allen,WR,,,,Limited Participation in Practice,
2026,2,JAX,Brian Thomas Jr.,WR,,,,Limited Participation in Practice,
2026,2,JAX,Cole Van Lanen,T,,,,Limited Participation in Practice,
2026,2,JAX,Foye Oluokun,LB,,,,Limited Participation in Practice,
2026,2,JAX,Jakobi Meyers,WR,,,,Limited Participation in Practice,
2026,2,JAX,LeQuint Allen Jr.,RB,,,,Limited Participation in Practice,
2026,2,KC,Ashton Gillotte,DE,,,,Full Participation in Practice,
2026,2,KC,Chamarri Conner,S,,,,Did Not Participate In Practice,
2026,2,KC,Chris Jones,DT,,,,Limited Participation in Practice,
2026,2,KC,Josh Simmons,T,,,,Did Not Participate In Practice,
2026,2,KC,L'Jarius Sneed,CB,,,,Full Participation in Practice,
2026,2,KC,Mansoor Delane,CB,,,,Full Participation in Practice,
2026,2,KC,Patrick Mahomes,QB,,,,Full Participation in Practice,
2026,2,KC,R Mason Thomas,DE,,,,Full Participation in Practice,
2026,2,KC,Rashee Rice,WR,,,,Full Participation in Practice,
2026,2,LAC,Akheem Mesidor,DE,,,,Full Participation in Practice,
2026,2,LAC,Dalvin Tomlinson,DT,,,,Limited Participation in Practice,
2026,2,LAC,Deane Leonard,CB,,,,Limited Participation in Practice,
2026,2,LAC,Derius Davis,WR,,,,Full Participation in Practice,
2026,2,LAC,Elijah Molden,S,,,,Did Not Participate In Practice,
2026,2,LAC,Khalil Mack,DE,,,,Did Not Participate In Practice,
2026,2,LAC,Ladd McConkey,WR,,,,Did Not Participate In Practice,
2026,2,LAC,Teair Tart,DT,,,,Did Not Participate In Practice,
2026,2,LAC,Trey Pipkins,T,,,,Did Not Participate In Practice,
2026,2,LV,Ashton Jeanty,RB,,,,Full Participation in Practice,
2026,2,LV,Brock Bowers,TE,,,,Did Not Participate In Practice,
2026,2,LV,Darien Porter,CB,,,,Did Not Participate In Practice,
2026,2,MIA,Chop Robinson,LB,,,,Limited Participation in Practice,
2026,2,MIA,Dante Trader Jr.,S,,,,Full Participation in Practice,
