season,week,defense,offense,position_group,pass_attempts_allowed,completions_allowed,passing_yards_allowed,passing_tds_allowed,interceptions_forced,rush_attempts_allowed,rushing_yards_allowed,rushing_tds_allowed,targets_allowed,receptions_allowed,receiving_yards_allowed,receiving_tds_allowed
2025,1,ARI,NO,ALL,46,27,214,0,0,22,107,1,41,27,214,0
2025,1,ARI,NO,DB,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,ARI,NO,DL,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,ARI,NO,LB,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,ARI,NO,OL,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,ARI,NO,QB,46,27,214,0,0,4,29,0,0,0,0,0
2025,1,ARI,NO,RB,0,0,0,0,0,18,78,1,2,2,12,0
2025,1,ARI,NO,SPEC,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,ARI,NO,TE,0,0,0,0,0,0,0,0,11,8,76,0
2025,1,ARI,NO,WR,0,0,0,0,0,0,0,0,28,17,126,0
2025,1,ATL,TB,ALL,32,17,167,3,0,23,101,0,30,17,167,3
2025,1,ATL,TB,DB,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,ATL,TB,DL,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,ATL,TB,LB,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,ATL,TB,OL,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,ATL,TB,QB,32,17,167,3,0,5,39,0,0,0,0,0
2025,1,ATL,TB,RB,0,0,0,0,0,17,53,0,5,5,10,1
2025,1,ATL,TB,SPEC,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,ATL,TB,TE,0,0,0,0,0,0,0,0,3,0,0,0
2025,1,ATL,TB,WR,0,0,0,0,0,1,9,0,22,12,157,2
2025,1,BAL,BUF,ALL,46,33,394,2,0,31,108,3,45,33,394,2
2025,1,BAL,BUF,DB,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,BAL,BUF,DL,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,BAL,BUF,LB,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,BAL,BUF,OL,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,BAL,BUF,QB,46,33,394,2,0,14,30,2,0,0,0,0
2025,1,BAL,BUF,RB,0,0,0,0,0,16,70,1,8,6,57,0
2025,1,BAL,BUF,SPEC,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,BAL,BUF,TE,0,0,0,0,0,0,0,0,7,7,97,1
2025,1,BAL,BUF,WR,0,0,0,0,0,1,8,0,30,20,240,1
2025,1,BUF,BAL,ALL,19,14,209,2,0,29,238,3,19,14,209,2
2025,1,BUF,BAL,DB,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,BUF,BAL,DL,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,BUF,BAL,LB,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,BUF,BAL,OL,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,BUF,BAL,QB,19,14,209,2,0,6,70,1,0,0,0,0
2025,1,BUF,BAL,RB,0,0,0,0,0,21,160,2,3,2,16,0
2025,1,BUF,BAL,SPEC,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,BUF,BAL,TE,0,0,0,0,0,0,0,0,1,1,5,0
2025,1,BUF,BAL,WR,0,0,0,0,0,2,8,0,15,11,188,2
2025,1,CAR,JAX,ALL,31,19,178,1,0,32,200,1,29,19,178,1
