player_id,player_name,player_display_name,position,position_group,season,week,season_type,team,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,2025,1,REG,PIT,NYJ,22,30,244,4,,1,-1,0,0,0,0,0
00-0023853,M.Prater,Matt Prater,K,SPEC,2025,1,REG,BUF,BAL,0,0,0,0,,0,0,0,0,0,0,0
00-0025565,N.Folk,Nick Folk,K,SPEC,2025,1,REG,NYJ,PIT,0,0,0,0,,0,0,0,0,0,0,0
00-0026158,J.Flacco,Joe Flacco,QB,QB,2025,1,REG,CLE,CIN,31,45,290,1,,2,6,0,0,0,0,0
00-0026190,C.Campbell,Calais Campbell,DE,DL,2025,1,REG,ARI,NO,0,0,0,0,,0,0,0,0,0,0,0
00-0026498,M.Stafford,Matthew Stafford,QB,QB,2025,1,REG,LA,HOU,21,29,245,1,,4,-2,0,0,0,0,0
00-0026858,G.Gano,Graham Gano,K,SPEC,2025,1,REG,NYG,WAS,0,0,0,0,,0,0,0,0,0,0,0
00-0027114,T.Morstead,Thomas Morstead,P,SPEC,2025,1,REG,SF,SEA,0,0,0,0,,0,0,0,0,0,0,0
00-0027857,T.Williams,Trent Williams,OT,OL,2025,1,REG,SF,SEA,0,0,0,0,,0,0,0,0,0,0,0
00-0027940,V.Miller,Von Miller,OLB,LB,2025,1,REG,WAS,NYG,0,0,0,0,,0,0,0,0,0,0,0
00-0027962,C.Jordan,Cameron Jordan,LB,LB,2025,1,REG,NO,ARI,0,0,0,0,,0,0,0,0,0,0,0
00-0027969,Ca.Heyward,Cameron Heyward,DE,DL,2025,1,REG,PIT,NYJ,0,0,0,0,,0,0,0,0,0,0,0
00-0028292,N.Bellore,Nick Bellore,LB,LB,2025,1,REG,WAS,NYG,0,0,0,0,,0,0,0,0,0,0,0
00-0028872,J.Hekker,Johnny Hekker,P,SPEC,2025,1,REG,TEN,DEN,0,0,0,0,,0,0,0,0,0,0,0
00-0029255,B.Wagner,Bobby Wagner,MLB,LB,2025,1,REG,WAS,NYG,0,0,0,0,,0,0,0,0,0,0,0
00-0029263,R.Wilson,Russell Wilson,QB,QB,2025,1,REG,NYG,WAS,17,37,168,0,,8,44,0,0,0,0,0
00-0029562,L.David,Lavonte David,OLB,LB,2025,1,REG,TB,ATL,0,0,0,0,,0,0,0,0,0,0,0
00-0029592,K.Zeitler,Kevin Zeitler,G,OL,2025,1,REG,TEN,DEN,0,0,0,0,,0,0,0,0,0,0,0
00-0029607,D.Davis,Demario Davis,OLB,LB,2025,1,REG,NO,ARI,0,0,0,0,,0,0,0,0,0,0,0
00-0029692,B.Anger,Bryan Anger,P,SPEC,2025,1,REG,DAL,PHI,0,0,0,0,,0,0,0,0,0,0,0
00-0029714,A.DePaola,Andrew DePaola,LS,SPEC,2025,1,REG,MIN,CHI,0,0,0,0,,0,0,0,0,0,0,0
00-0029822,B.McManus,Brandon McManus,K,SPEC,2025,1,REG,GB,DET,0,0,0,0,,0,0,0,0,0,0,0
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,2025,1,REG,SF,SEA,0,0,0,0,,0,0,0,2,2,32,0
00-0030035,A.Thielen,Adam Thielen,WR,WR,2025,1,REG,MIN,CHI,0,0,0,0,,0,0,0,1,0,0,0
00-0030061,Z.Ertz,Zach Ertz,TE,TE,2025,1,REG,WAS,NYG,0,0,0,0,,0,0,0,5,3,26,1
00-0030062,D.Slay,Darius Slay,CB,DB,2025,1,REG,PIT,NYJ,0,0,0,0,,0,0,0,0,0,0,0
00-0030092,S.Martin,Sam Martin,P,SPEC,2025,1,REG,CAR,JAX,0,0,0,0,,0,0,0,0,0,0,0
00-0030140,T.Way,Tress Way,P,SPEC,2025,1,REG,WAS,NYG,0,0,0,0,,0,0,0,0,0,0,0
00-0030279,K.Allen,Keenan Allen,WR,WR,2025,1,REG,LAC,KC,0,0,0,0,,0,0,0,10,7,68,1
00-0030506,T.Kelce,Travis Kelce,TE,TE,2025,1,REG,KC,LAC,0,0,0,0,,0,0,0,4,2,47,1
00-0030564,D.Hopkins,DeAndre Hopkins,WR,WR,2025,1,REG,BAL,BUF,0,0,0,0,,0,0,0,2,2,35,1
00-0030565,G.Smith,Geno Smith,QB,QB,2025,1,REG,LV,NE,24,34,362,1,,2,10,0,0,0,0,0
00-0030757,M.Pennel,Mike Pennel,DT,DL,2025,1,REG,CIN,CLE,0,0,0,0,,0,0,0,0,0,0,0
00-0031040,K.Mack,Khalil Mack,OLB,LB,2025,1,REG,LAC,KC,0,0,0,0,,0,0,0,0,0,0,0
00-0031054,D.Jones,DaQuan Jones,DT,DL,2025,1,REG,BUF,BAL,0,0,0,0,,0,0,0,0,0,0,0
00-0031136,C.Boswell,Chris Boswell,K,SPEC,2025,1,REG,PIT,NYJ,0,0,0,0,,0,0,0,0,0,0,0
00-0031203,C.Santos,Cairo Santos,K,SPEC,2025,1,REG,CHI,MIN,0,0,0,0,,0,0,0,0,0,0,0
00-0031236,B.Cooks,Brandin Cooks,WR,WR,2025,1,REG,NO,ARI,0,0,0,0,,0,0,0,4,3,26,0
00-0031270,S.Harris,Shelby Harris,DE,DL,2025,1,REG,CLE,CIN,0,0,0,0,,0,0,0,0,0,0,0
00-0031360,K.Van Noy,Kyle Van Noy,MLB,LB,2025,1,REG,BAL,BUF,0,0,0,0,,0,0,0,0,0,0,0
